City,County
Fredonia,Louisa
Fremont,Mahaska
Fruitland,Muscatine
Galt,Wright
Galva,Ida
Garber,Clayton
Garden Grove,Decatur
Garnavillo,Clayton
Garner,Hancock
Garrison,Benton
Garwin,Tama
Geneva,Franklin
George,Lyon
Gibson,Keokuk
Gilbert,Story
Gilbertville,Black Hawk
Gillett Grove,Clay
Gilman,Marshall
Gilmore City,Humboldt
Gladbrook,Tama
Glenwood,Mills
Glidden,Carroll
Goldfield,Wright
Goodell,Hancock
Goose Lake,Clinton
Gowrie,Webster
Graettinger,Palo Alto
Graf,Dubuque
Grafton,Worth
Grand Junction,Greene
Grand Mound,Clinton
Grand River,Decatur
Grandview,Louisa
Granger,Dallas
Grant,Montgomery
Granville,Sioux
Gravity,Taylor
Gray,Audubon
Greeley,Delaware
Greene,Butler
Greenfield,Adair
Greenville,Clay
Grimes,Polk
Grinnell,Poweshiek
Griswold,Cass
Grundy Center,Grundy
Gruver,Emmet
Guernsey,Poweshiek
Guthrie Center,Guthrie
Guttenberg,Clayton
Halbur,Carroll
Hamburg,Fremont
Hamilton,Marion
Hampton,Franklin
Hancock,Pottawattamie
Hanlontown,Worth
Hansell,Franklin
Harcourt,Webster
Hardy,Humboldt
Harlan,Shelby
Harper,Keokuk
Harpers Ferry,Allamakee
Harris,Osceola
Hartford,Warren
Hartley,O'Brien
Hartwick,Poweshiek
Harvey,Marion
Hastings,Mills
Havelock,Pocahontas
Haverhill,Marshall
Hawarden,Sioux
Hawkeye,Fayette
Hayesville,Keokuk
Hazleton,Buchanan
Hedrick,Keokuk
Hiawatha,Linn
Hills,Johnson
Hillsboro,Henry
Hinton,Plymouth
Holland,Grundy
Holstein,Ida
Holy Cross,Dubuque
Hopkinton,Delaware
Hornick,Woodbury
Hospers,Sioux
Houghton,Lee
Hubbard,Hardin
Hudson,Black Hawk
Hull,Sioux
Humboldt,Humboldt
Humeston,Wayne
Huxley,Story
Ida Grove,Ida
Imogene,Fremont
Independence,Buchanan
Indianola,Warren
Inwood,Lyon
Ionia,Chickasaw
Iowa City,Johnson
Iowa Falls,Hardin
Ireton,Sioux
Irwin,Shelby
Jackson Junction,Winneshiek
Jamaica,Guthrie
Janesville,Bremer
Jefferson,Greene
Jesup,Buchanan
Jewell Junction,Hamilton
Johnston,Polk
Joice,Worth
Jolley,Calhoun
Kalona,Washington
Kamrar,Hamilton
Kanawha,Hancock
Kellerton,Ringgold
Kelley,Story
Kellogg,Jasper
Kensett,Worth
Keokuk,Lee
Keomah,Mahaska
Keomah Village,Mahaska
Keosauqua,Van Buren
Keota,Keokuk
Keswick,Keokuk
Keystone,Benton
Kimballton,Audubon
Kingsley,Plymouth
Kinross,Keokuk
Kirkman,Shelby
Kirkville,Wapello
Kiron,Crawford
Klemme,Hancock
Knierim,Calhoun
Knoxville,Marion
Lacona,Warren
Ladora,lowa
Lake City,Calhoun
Lake Mills,Winnebago
Lake Park,Dickinson
Lakeside,Buena Vista
Lake View,Sac
Lakota,Kossuth
Lambs Grove,Jasper
Lamoni,Decatur
Lamont,Buchanan
La Motte,Jackson
Lanesboro,Carroll
Lansing,Allamakee
La Porte City,Black Hawk
Larchwood,Lyon
Larrabee,Cherokee
Latimer,Franklin
Laurel,Marshall
Laurens,Pocahontas
Lawler,Chickasaw
Lawton,Woodbury
Le Claire,Scott
Ledyard,Kossuth
Le Grand,Marshall
Lehigh,Webster
Leighton,Mahaska
Leland,Winnebago
Le Mars,Plymouth
Lenox,Taylor
Leon,Decatur
Le Roy,Decatur
Lester,Lyon
Letts,Louisa
Lewis,Cass
Libertyville,Jefferson
Lidderdale,Carroll
Lime Springs,Howard
Lincoln,Tama
Linden,Dallas
Lineville,Wayne
Linn Grove,Buena Vista
Lisbon,Linn
Liscomb,Marshall
Little Rock,Lyon
Little Sioux,Harrison
Livermore,Humboldt
Lockridge,Jefferson
Logan,Harrison
Lohrville,Calhoun
Lone Rock,Kossuth
Lone Tree,Johnson
Long Grove,Scott
Lorimor,Union
Lost Nation,Clinton
Lovilia,Monroe
Lowden,Cedar
Low Moor,Clinton
Luana,Clayton
Lucas,Lucas
Luther,Boone
LuVerne,Kossuth
Luxemburg,Dubuque
Luzerne,Benton
Lynnville,Jasper
Lytton,Sac
McCallsburg,Story
McCausland,Scott
McClelland,Pottawattamie
McGregor,Clayton
McIntire,Mitchell
